date,direction,entry_time,exit_time,entry_px,exit_px,pts,lot_size,pnl,exit_reason
2021-05-21,LONG,09:45,15:15,15064.2,15183.5,119.3,50,5965.0,TIME_EXIT
2021-05-25,SHORT,13:30,15:15,15199.2,15218.2,-19.0,50,-950.0,TIME_EXIT
2021-05-26,LONG,10:00,15:15,15241.8,15299.7,57.9,50,2895.0,TIME_EXIT
2021-05-27,SHORT,14:45,15:15,15303.8,15370.2,-66.4,50,-3320.0,TIME_EXIT
2021-06-02,LONG,15:00,15:15,15573.0,15590.0,17.0,50,850.0,TIME_EXIT
2021-06-04,SHORT,13:15,15:15,15648.1,15670.7,-22.6,50,-1130.0,TIME_EXIT
2021-06-08,SHORT,10:00,13:15,15695.3,15745.5,-50.2,50,-2510.0,SIGNAL_FLIP
2021-06-08,LONG,13:15,15:15,15745.5,15741.8,-3.7,50,-185.0,TIME_EXIT
2021-06-09,SHORT,13:00,15:15,15659.7,15640.2,19.5,50,975.0,TIME_EXIT
2021-06-10,LONG,11:45,15:15,15722.5,15745.2,22.7,50,1135.0,TIME_EXIT
2021-06-14,LONG,13:30,15:15,15787.4,15809.7,22.3,50,1115.0,TIME_EXIT
2021-06-16,SHORT,09:45,15:15,15833.8,15755.7,78.1,50,3905.0,TIME_EXIT
2021-06-18,LONG,14:30,15:15,15665.4,15719.8,54.4,50,2720.0,TIME_EXIT
2021-06-21,SHORT,09:45,12:30,15573.4,15640.0,-66.6,50,-3330.0,SIGNAL_FLIP
2021-06-21,LONG,12:30,15:15,15640.0,15748.6,108.6,50,5430.0,TIME_EXIT
2021-06-24,LONG,11:15,15:15,15752.4,15793.7,41.3,50,2065.0,TIME_EXIT
2021-06-28,SHORT,11:45,15:15,15834.7,15825.0,9.7,50,485.0,TIME_EXIT
2021-06-30,LONG,10:00,14:00,15806.2,15787.0,-19.2,50,-960.0,SIGNAL_FLIP
2021-06-30,SHORT,14:00,15:15,15787.0,15730.7,56.3,50,2815.0,TIME_EXIT
2021-07-02,LONG,13:00,15:15,15699.5,15729.0,29.5,50,1475.0,TIME_EXIT
2021-07-06,SHORT,15:00,15:15,15806.5,15817.7,-11.2,50,-560.0,TIME_EXIT
2021-07-07,LONG,14:00,15:15,15854.5,15878.7,24.2,50,1210.0,TIME_EXIT
2021-07-08,SHORT,10:45,15:15,15835.2,15728.0,107.2,50,5360.0,TIME_EXIT
2021-07-12,SHORT,13:30,15:15,15722.0,15691.4,30.6,50,1530.0,TIME_EXIT
2021-07-13,LONG,09:45,15:15,15770.4,15807.9,37.5,50,1875.0,TIME_EXIT
2021-07-16,SHORT,12:00,15:15,15908.2,15923.6,-15.4,50,-770.0,TIME_EXIT
2021-07-26,SHORT,12:15,15:15,15852.6,15821.5,31.1,50,1555.0,TIME_EXIT
2021-07-27,LONG,10:00,11:15,15868.8,15834.1,-34.7,50,-1735.0,SIGNAL_FLIP
2021-07-27,SHORT,11:15,15:15,15834.1,15747.2,86.9,50,4345.0,TIME_EXIT
2021-07-28,LONG,14:00,14:15,15688.3,15652.9,-35.4,50,-1770.0,SIGNAL_FLIP
2021-07-28,SHORT,14:15,14:45,15652.9,15684.0,-31.1,50,-1555.0,SIGNAL_FLIP
2021-07-28,LONG,14:45,15:15,15684.0,15714.7,30.7,50,1535.0,TIME_EXIT
